iter	Passed	Remaining
827	78733	16355
828	78846	16263
829	78962	16173
830	79075	16081
831	79195	15991
832	79324	15903
833	79435	15810
834	79550	15719
835	79663	15627
836	79779	15536
837	79884	15443
838	79998	15351
839	80121	15261
840	80242	15170
841	80365	15080
842	80485	14989
843	80609	14899
844	80729	14808
845	80856	14718
846	80979	14627
847	81093	14535
848	81224	14446
849	81344	14354
850	81460	14262
851	81581	14171
852	81700	14079
853	81815	13987
854	81932	13894
855	82063	13805
856	82179	13712
857	82298	13620
858	82417	13528
859	82539	13436
860	82651	13343
861	82763	13249
862	82883	13157
863	82997	13064
864	83115	12971
865	83233	12879
866	83345	12785
867	83465	12692
868	83571	12598
869	83668	12502
870	83780	12408
871	83891	12314
872	83996	12219
873	84116	12126
874	84233	12033
875	84346	11939
876	84447	11843
877	84561	11749
878	84726	11663
879	84839	11568
880	84955	11475
881	85072	11381
882	85183	11287
883	85301	11193
884	85422	11100
885	85548	11007
886	85682	10915
887	85818	10823
888	85944	10730
889	86073	10638
890	86204	10545
891	86344	10454
892	86482	10362
893	86618	10270
894	86758	10178
895	86890	10085
896	87026	9993
897	87160	9900
898	87295	9807
899	87432	9714
900	87593	9624
901	87739	9532
902	87875	9439
903	88016	9346
904	88158	9254
905	88296	9161
906	88433	9067
907	88567	8973
908	88694	8879
909	88828	8785
910	88950	8690
911	89066	8594
912	89198	8499
913	89315	8403
914	89436	8308
915	89551	8212
916	89659	8115
917	89768	8018
918	89896	7923
919	90016	7827
920	90144	7732
921	90260	7635
922	90385	7540
923	90503	7444
924	90629	7348
925	90750	7252
926	90862	7155
927	90987	7059
928	91102	6962
929	91228	6866
930	91353	6770
931	91472	6673
932	91593	6577
933	91713	6480
934	91849	6385
935	91965	6288
936	92079	6191
937	92193	6093
938	92305	5996
939	92433	5900
940	92563	5803
941	92688	5706
942	92796	5609
943	92929	5512
944	93046	5415
945	93160	5317
946	93284	5220
947	93408	5123
948	93537	5026
949	93658	4929
950	93774	4831
951	93901	4734
952	94010	4636
953	94127	4538
954	94251	4441
955	94361	4342
956	94473	4244
957	94590	4146
958	94709	4049
959	94844	3951
960	94975	3854
961	95090	3756
962	95207	3658
963	95329	3560
964	95441	3461
965	95561	3363
966	95678	3265
967	95795	3166
968	95913	3068
969	96027	2969
970	96147	2871
971	96260	2772
972	96379	2674
973	96495	2575
974	96613	2477
975	96786	2380
976	96902	2281
977	97027	2182
978	97143	2083
979	97255	1984
980	97363	1885
981	97481	1786
982	97603	1687
983	97709	1588
984	97820	1489
985	97940	1390
986	98051	1291
987	98162	1192
988	98268	1092
989	98384	993
990	98496	894
991	98614	795
992	98746	696
993	98870	596
994	98987	497
995	99107	398
996	99223	298
997	99348	199
998	99456	99
999	99569	0
